"basisOfRecord","catalogNumber","class","collectionCode","continent","country","datasetID","day","decimalLatitude","decimalLongitude","eventDate","eventTime","family","genus","georeferenceRemarks","institutionCode","kingdom","locality","maximumDepthInMeters","maximumElevationInMeters","minimumDepthInMeters","minimumElevationInMeters","modified","month","occurrenceID","occurrenceStatus","order","phylum","recordedBy","references","samplingProtocol","scientificName","scientificNameAuthorship","scientificNameID","year","id","dataset_id","node_id","depth","date_start","date_mid","date_end","date_year","dropped","absence","marine","brackish","subphylum","infraphylum","parvphylum","gigaclass","superclass","subclass","suborder","subfamily","species","kingdomid","phylumid","subphylumid","infraphylumid","parvphylumid","gigaclassid","superclassid","classid","subclassid","orderid","suborderid","familyid","subfamilyid","genusid","speciesid","aphiaID","originalScientificName","category","bathymetry","shoredistance","sst","sss","datasetName","eventID","geodeticDatum","habitat","license","ownerInstitutionCode","samplingEffort","stateProvince","taxonRank","waterBody","language","organismQuantity","organismQuantityType","type","county","occurrenceRemarks","countryCode","identificationVerificationStatus","institutionID","island","islandGroup","locationAccordingTo","locationID","nameAccordingTo","nameAccordingToID","parentEventID","previousIdentifications","sampleSizeUnit","sampleSizeValue","specificEpithet","taxonomicStatus","verbatimEventDate","verbatimLocality","collectionID","recordNumber","rightsHolder","individualCount","terrestrial","fieldNumber","identifiedBy","coordinateUncertaintyInMeters","accessRights","associatedReferences","associatedSequences","georeferenceSources","higherGeography","otherCatalogNumbers","preparations","bibliographicCitation","dynamicProperties","sex","dateIdentified","identificationRemarks","locationRemarks","footprintSRS","coordinatePrecision","verbatimDepth","dataGeneralizations","georeferenceProtocol","higherClassification","nomenclaturalCode","startDayOfYear","verbatimLatitude","verbatimLongitude","higherGeographyID","verbatimCoordinateSystem","verbatimCoordinates","eventRemarks","fieldNotes","lifeStage","municipality","acceptedNameUsage","acceptedNameUsageID","georeferenceVerificationStatus","georeferencedBy","identificationID","verbatimSRS","taxonID","typeStatus","organismRemarks","footprintWKT"
"PreservedSpecimen","MFSFAF784","Teleostei","RAP",NA,"Brazil",NA,"24",-17.980833,-38.659722,"2000-02-24T12:00:00Z",NA,"Serranidae","Mycteroperca",NA,"CI_BR","Animalia","Central Parcel dos Abrolhos, Abrolhos National Park",21.5,NA,0.5,NA,NA,"2",NA,NA,"Perciformes","Chordata",NA,NA,NA,"Mycteroperca bonaci","(Poey, 1860)","urn:lsid:marinespecies.org:taxname:159231","2000","45f26df8-0ff7-4f9b-bbcc-3e97252e12ac","7a950cb1-88cc-4401-9368-1495e64586ff","dde0dbd3-92fb-41e6-9f51-b1ae930a934b",11,951350400000,951350400000,951350400000,2000,FALSE,FALSE,TRUE,FALSE,"Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Serranoidei","Epinephelinae","Mycteroperca bonaci",2,1821,146419,1828,152352,10194,843664,293496,293496,11014,1617140,125561,151758,126069,159231,159231,"Mycteroperca bonaci","NT",3,3855,25.9,37.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South Atlantic",NA,NA,NA,NA,"Abrolhos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HumanObservation",NA,"Teleostei",NA,"SA","Colombia",NA,"14",11.3256111,-74.1283611,"2016-10-14",NA,"Serranidae","Mycteroperca",NA,"Instituto de Investigaciones Marinas y Costeras José Benito Vives de Andréis (Invemar)","Animalia","Parque Nacional Natural Tayrona, Bahía Chengue C1, Estación CHE 1",12,NA,8,NA,NA,"10","INVEMAR:ICTac:AbunPec:CHE-1:2016:M:008419","present","Perciformes","Chordata","González Corredor Juan David",NA,"Transectos de banda","Mycteroperca bonaci","(Poey, 1860)","urn:lsid:marinespecies.org:taxname:159231","2016","45ff8502-0554-49b8-b726-4323f390db06","7140a522-1379-452e-a8a7-8841a96fe656","d2f71b1b-9138-4aba-ad8f-8327ac3d041e",10,1476403200000,1476403200000,1476403200000,2016,FALSE,FALSE,TRUE,FALSE,"Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Serranoidei","Epinephelinae","Mycteroperca bonaci",2,1821,146419,1828,152352,10194,843664,293496,293496,11014,1617140,125561,151758,126069,159231,159231,"Mycteroperca bonaci","NT",-10,54,27.31,35.36,NA,"INVEMAR:ICTac:AbunPec:CHE-1:2016-10-14","WGS84",NA,NA,NA,"10 transectos de banda de 2 x 30","Magdalena","Especie","Mar Caribe",NA,"1","individuos",NA,"Santa Marta",NA,"CO","Verificado","800.250.062-0",NA,NA,"Dato in situ usando GPS | Estandarización político andministrativa Colombia DANE - Divipola | Marine Regions Gazetteer - MRG","http://marineregions.org/mrgid/25303","Froese, R. and D. Pauly. Editors. (2021). FishBase. Mycteroperca bonaci (Poey, 1860). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=159231 on 2021-10-04","http://www.marinespecies.org/aphia.php?p=taxdetails&id=159231","INVEMAR:ICTac:AbunPec:CHE","Mycteroperca bonaci","metros cuadrados","60","bonaci","Aceptado","14/10/16","Chengue..C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PreservedSpecimen","84","Teleostei","SMR",NA,"Brazil",NA,NA,-8.6992,-35.0821,"2006-07-16T12:00:00Z",NA,"Serranidae","Mycteroperca",NA,"UFPE","Animalia","Carneiros Beach",NA,NA,NA,NA,NA,"7",NA,NA,"Perciformes","Chordata",NA,NA,NA,"Mycteroperca bonaci","(Poey, 1860)","urn:lsid:marinespecies.org:taxname:159231","2006","461aecd0-e40d-4b12-bc78-4bc269c599c3","49b938b5-2d5a-43c0-92f9-26354f189f82","dde0dbd3-92fb-41e6-9f51-b1ae930a934b",NA,1.153008e+12,1.153008e+12,1.153008e+12,2006,FALSE,FALSE,TRUE,FALSE,"Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Serranoidei","Epinephelinae","Mycteroperca bonaci",2,1821,146419,1828,152352,10194,843664,293496,293496,11014,1617140,125561,151758,126069,159231,159231,"Mycteroperca bonaci","NT",2,193,27.41,36.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South Atlantic",NA,NA,NA,NA,"Tamandare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HumanObservation",NA,"Teleostei",NA,"SA","Colombia",NA,"30",11.3313611,-74.1169444,"2014-05-30",NA,"Serranidae","Mycteroperca",NA,"Instituto de Investigaciones Marinas y Costeras José Benito Vives de Andréis (Invemar)","Animalia","Parque Nacional Natural Tayrona, Bahía Granate, Estación GRA 2",12,NA,8,NA,NA,"05","INVEMAR:ICTac:AbunPec:GAY-2:2014:M:017073","present","Perciformes","Chordata","Muñoz Escobar Laura | Díaz Sánchez Christian Michael",NA,"Transectos de banda","Mycteroperca bonaci","(Poey, 1860)","urn:lsid:marinespecies.org:taxname:159231","2014","473e5e4d-d405-47c5-aacd-68536e78fd38","7140a522-1379-452e-a8a7-8841a96fe656","d2f71b1b-9138-4aba-ad8f-8327ac3d041e",10,1.401408e+12,1.401408e+12,1.401408e+12,2014,FALSE,FALSE,TRUE,FALSE,"Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Serranoidei","Epinephelinae","Mycteroperca bonaci",2,1821,146419,1828,152352,10194,843664,293496,293496,11014,1617140,125561,151758,126069,159231,159231,"Mycteroperca bonaci","NT",-78,50,27.31,35.36,NA,"INVEMAR:ICTac:AbunPec:GAY-2:2014-05-30","WGS84",NA,NA,NA,"10 transectos de banda de 2 x 30","Magdalena","Especie","Mar Caribe",NA,"1","individuos",NA,"Santa Marta",NA,"CO","Verificado","800.250.062-0",NA,NA,"Dato in situ usando GPS | Estandarización político andministrativa Colombia DANE - Divipola | Marine Regions Gazetteer - MRG","http://marineregions.org/mrgid/25303","Froese, R. and D. Pauly. Editors. (2021). FishBase. Mycteroperca bonaci (Poey, 1860). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=159231 on 2021-10-04","http://www.marinespecies.org/aphia.php?p=taxdetails&id=159231","INVEMAR:ICTac:AbunPec:GAY","Mycteroperca bonaci","metros cuadrados","60","bonaci","Aceptado","30/05/14","Gayraca 2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HumanObservation","agrra_fish","Teleostei","agrra_fish",NA,NA,NA,"28",24.7659664154,-80.7542648315,"2003-07-28T12:00:00Z",NA,"Serranidae","Mycteroperca",NA,"AGRRA","Animalia",NA,5.7,NA,5.7,NA,NA,"7",NA,NA,"Perciformes","Chordata",NA,NA,NA,"Mycteroperca bonaci",NA,"urn:lsid:marinespecies.org:taxname:159231","2003","479f4283-8026-4fc5-a8d2-c04fae7a5545","e191604f-fe12-424a-9bc7-98100d969515","310922b4-9d0c-4de1-92d7-9b442d34765b",5.7,1059350400000,1059350400000,1059350400000,2003,FALSE,FALSE,TRUE,FALSE,"Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Serranoidei","Epinephelinae","Mycteroperca bonaci",2,1821,146419,1828,152352,10194,843664,293496,293496,11014,1617140,125561,151758,126069,159231,159231,"Mycteroperca bonaci","NT",6,6537,26.91,36.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HumanObservation",NA,"Teleostei",NA,"SA","Colombia",NA,"28",11.3256111,-74.1283611,"2017-11-28",NA,"Serranidae","Mycteroperca",NA,"Instituto de Investigaciones Marinas y Costeras José Benito Vives de Andréis (Invemar)","Animalia","Parque Nacional Natural Tayrona, Bahía Chengue C1, Estación CHE 1",7,NA,2,NA,NA,"11","INVEMAR:ICTac:AbunPec:CHE-1:2017:S:015345","present","Perciformes","Chordata","Acosta Chaparro Andres Felipe",NA,"Transectos de banda","Mycteroperca bonaci","(Poey, 1860)","urn:lsid:marinespecies.org:taxname:159231","2017","47bf8ff1-2d53-4117-a618-cef549652a59","7140a522-1379-452e-a8a7-8841a96fe656","d2f71b1b-9138-4aba-ad8f-8327ac3d041e",4.5,1511827200000,1511827200000,1511827200000,2017,FALSE,FALSE,TRUE,FALSE,"Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Serranoidei","Epinephelinae","Mycteroperca bonaci",2,1821,146419,1828,152352,10194,843664,293496,293496,11014,1617140,125561,151758,126069,159231,159231,"Mycteroperca bonaci","NT",-10,54,27.31,35.36,NA,"INVEMAR:ICTac:AbunPec:CHE-1:2017-11-28","WGS84",NA,NA,NA,"10 transectos de banda de 2 x 30","Magdalena","Especie","Mar Caribe",NA,"1","individuos",NA,"Santa Marta",NA,"CO","Verificado","800.250.062-0",NA,NA,"Dato in situ usando GPS | Estandarización político andministrativa Colombia DANE - Divipola | Marine Regions Gazetteer - MRG","http://marineregions.org/mrgid/25303","Froese, R. and D. Pauly. Editors. (2021). FishBase. Mycteroperca bonaci (Poey, 1860). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=159231 on 2021-10-04","http://www.marinespecies.org/aphia.php?p=taxdetails&id=159231","INVEMAR:ICTac:AbunPec:CHE","Mycteroperca bonaci","metros cuadrados","60","bonaci","Aceptado","28/11/17","Chengue..C1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PreservedSpecimen","FFRMGFGJG309","Teleostei","Reef Fish",NA,NA,NA,"2",-23.047,-44.214,"2003-12-02T12:00:00Z",NA,"Serranidae","Mycteroperca",NA,"MMA/BIO23","Animalia","Enseada do Itapinhoacanga",14,NA,14,NA,NA,"12",NA,NA,"Perciformes","Chordata",NA,NA,NA,"Mycteroperca bonaci","(Poey, 1860)","urn:lsid:marinespecies.org:taxname:159231","2003","4b902215-0faa-4299-9db9-17cdb3ce5613","eddee438-1ec9-4e50-83ca-a7ee7bc324cc","dde0dbd3-92fb-41e6-9f51-b1ae930a934b",14,1070323200000,1070323200000,1070323200000,2003,FALSE,FALSE,TRUE,FALSE,"Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Serranoidei","Epinephelinae","Mycteroperca bonaci",2,1821,146419,1828,152352,10194,843664,293496,293496,11014,1617140,125561,151758,126069,159231,159231,"Mycteroperca bonaci","NT",-49,53,23.73,36.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28","Ferreira, C.E.L.; Ferreira, C.G.W.; Rangel, C.A.; Mendonca, J.P.; Gerhardinger, L.C.; Filho, A.C.; Godoy, E.A.; Junior, O.L.; Gasparini, J.L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HumanObservation","63","Teleostei","RAP",NA,"Brazil",NA,NA,-8.585,-34.7117,"2006-07-02T12:00:00Z",NA,"Serranidae","Mycteroperca",NA,"UFPE","Animalia","offshore",NA,NA,100,NA,NA,NA,NA,NA,"Perciformes","Chordata",NA,NA,NA,"Mycteroperca bonaci","(Poey, 1860)","urn:lsid:marinespecies.org:taxname:159231","2006","4bc1c950-ff4c-4585-8357-f90f162d924f","49b938b5-2d5a-43c0-92f9-26354f189f82","dde0dbd3-92fb-41e6-9f51-b1ae930a934b",100,1151798400000,1151798400000,1151798400000,2006,FALSE,FALSE,TRUE,FALSE,"Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Serranoidei","Epinephelinae","Mycteroperca bonaci",2,1821,146419,1828,152352,10194,843664,293496,293496,11014,1617140,125561,151758,126069,159231,159231,"Mycteroperca bonaci","NT",467,32338,27.43,36.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South Atlantic",NA,NA,NA,NA,"Ipojuca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HumanObservation",NA,"Teleostei",NA,"SA","Colombia",NA,"18",11.3298611,-74.1286111,"2016-10-18",NA,"Serranidae","Mycteroperca",NA,"Instituto de Investigaciones Marinas y Costeras José Benito Vives de Andréis (Invemar)","Animalia","Parque Nacional Natural Tayrona, Bahía Chengue C2, Estación CHE 2",12,NA,8,NA,NA,"10","INVEMAR:ICTac:AbunPec:CHE-2:2016:M:008290","present","Perciformes","Chordata","Acosta Chaparro Andres Felipe | González Corredor Juan David",NA,"Transectos de banda","Mycteroperca bonaci","(Poey, 1860)","urn:lsid:marinespecies.org:taxname:159231","2016","4cf38b45-0da5-407a-8b6b-efe45d567dfd","7140a522-1379-452e-a8a7-8841a96fe656","d2f71b1b-9138-4aba-ad8f-8327ac3d041e",10,1476748800000,1476748800000,1476748800000,2016,FALSE,FALSE,TRUE,FALSE,"Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Serranoidei","Epinephelinae","Mycteroperca bonaci",2,1821,146419,1828,152352,10194,843664,293496,293496,11014,1617140,125561,151758,126069,159231,159231,"Mycteroperca bonaci","NT",-10,49,27.31,35.36,NA,"INVEMAR:ICTac:AbunPec:CHE-2:2016-10-18","WGS84",NA,NA,NA,"10 transectos de banda de 2 x 30","Magdalena","Especie","Mar Caribe",NA,"1","individuos",NA,"Santa Marta",NA,"CO","Verificado","800.250.062-0",NA,NA,"Dato in situ usando GPS | Estandarización político andministrativa Colombia DANE - Divipola | Marine Regions Gazetteer - MRG","http://marineregions.org/mrgid/25303","Froese, R. and D. Pauly. Editors. (2021). FishBase. Mycteroperca bonaci (Poey, 1860). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=159231 on 2021-10-04","http://www.marinespecies.org/aphia.php?p=taxdetails&id=159231","INVEMAR:ICTac:AbunPec:CHE","Mycteroperca bonaci","metros cuadrados","60","bonaci","Aceptado","18/10/16","Chengue..C2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HumanObservation","agrra_fish","Teleostei","agrra_fish",NA,NA,NA,"22",-17.9920005798,-38.6694984436,"2000-03-22T00:25:37Z",NA,"Serranidae","Mycteroperca",NA,"AGRRA","Animalia",NA,6.8,NA,6.8,NA,NA,"3",NA,NA,"Perciformes","Chordata",NA,NA,NA,"Mycteroperca bonaci",NA,"urn:lsid:marinespecies.org:taxname:159231","2000","51f4e310-117f-4a32-ab29-b605cbf29afb","e191604f-fe12-424a-9bc7-98100d969515","310922b4-9d0c-4de1-92d7-9b442d34765b",6.8,953683200000,953683200000,953683200000,2000,FALSE,FALSE,TRUE,FALSE,"Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Serranoidei","Epinephelinae","Mycteroperca bonaci",2,1821,146419,1828,152352,10194,843664,293496,293496,11014,1617140,125561,151758,126069,159231,159231,"Mycteroperca bonaci","NT",2,3092,25.9,37.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PreservedSpecimen","MFSFAF783","Teleostei","RAP",NA,"Brazil",NA,"24",-17.906944,-38.690278,"2000-02-24T12:00:00Z",NA,"Serranidae","Mycteroperca",NA,"CI_BR","Animalia","North of Abrolhos Archipelago, Abrolhos National Park",16,NA,11,NA,NA,"2",NA,NA,"Perciformes","Chordata",NA,NA,NA,"Mycteroperca bonaci","(Poey, 1860)","urn:lsid:marinespecies.org:taxname:159231","2000","544ac16b-a52e-470f-b6db-3533a48a20ab","7a950cb1-88cc-4401-9368-1495e64586ff","dde0dbd3-92fb-41e6-9f51-b1ae930a934b",13.5,951350400000,951350400000,951350400000,2000,FALSE,FALSE,TRUE,FALSE,"Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Serranoidei","Epinephelinae","Mycteroperca bonaci",2,1821,146419,1828,152352,10194,843664,293496,293496,11014,1617140,125561,151758,126069,159231,159231,"Mycteroperca bonaci","NT",5,6025,25.9,37.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South Atlantic",NA,NA,NA,NA,"Abrolhos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HumanObservation","agrra_fish","Teleostei","agrra_fish",NA,NA,NA,"28",-17.9815006256,-38.6951675415,"2000-03-28T12:00:00Z",NA,"Serranidae","Mycteroperca",NA,"AGRRA","Animalia",NA,4.1,NA,4.1,NA,NA,"3",NA,NA,"Perciformes","Chordata",NA,NA,NA,"Mycteroperca bonaci",NA,"urn:lsid:marinespecies.org:taxname:159231","2000","55e78673-47cb-4457-b4fd-3e00c3db23b2","e191604f-fe12-424a-9bc7-98100d969515","310922b4-9d0c-4de1-92d7-9b442d34765b",4.1,954201600000,954201600000,954201600000,2000,FALSE,FALSE,TRUE,FALSE,"Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Serranoidei","Epinephelinae","Mycteroperca bonaci",2,1821,146419,1828,152352,10194,843664,293496,293496,11014,1617140,125561,151758,126069,159231,159231,"Mycteroperca bonaci","NT",3,145,25.9,37.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HumanObservation",NA,"Teleostei",NA,"SA","Colombia",NA,"14",11.0733667,-74.4557167,"2019-03-14",NA,"Serranidae","Mycteroperca",NA,"Instituto de Investigaciones Marinas y Costeras José Benito Vives de Andréis (Invemar)","Animalia","Banco de las Ánimas, Mussas, Estación Mussas-8",24,NA,23,NA,NA,"03","INVEMAR:ÁNIMAS:CenPec:Mussas-8:2019:000374","present","Perciformes","Chordata","González Corredor Juan David | Sanchez Valencia Laura",NA,"Transectos lineales","Mycteroperca bonaci","(Poey, 1860)","urn:lsid:marinespecies.org:taxname:159231","2019","56f2fba5-6422-4dca-a2ac-6edcd84192a5","d569dc61-1e0b-4cd1-974c-7c06bed15856","d2f71b1b-9138-4aba-ad8f-8327ac3d041e",23.5,1552521600000,1552521600000,1552521600000,2019,FALSE,FALSE,TRUE,FALSE,"Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Serranoidei","Epinephelinae","Mycteroperca bonaci",2,1821,146419,1828,152352,10194,843664,293496,293496,11014,1617140,125561,151758,126069,159231,159231,"Mycteroperca bonaci","NT",21,10652,27.72,34.57,NA,"INVEMAR:ÁNIMAS:DatBentos:Mussas-8:2019-03-14","WGS84","Área coralina",NA,NA,"2 transectos x 10 metros","Magdalena","Especie","Mar Caribe",NA,NA,NA,NA,"Ciénaga",NA,"CO","Verificado","800.250.062-0","Isla de Salamanca",NA,NA,NA,"Froese, R. and D. Pauly. Editors. (2021). FishBase. Mycteroperca bonaci (Poey, 1860). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=159231 on 2021-10-11","http://www.marinespecies.org/aphia.php?p=taxdetails&id=159231","INVEMAR:ÁNIMAS:DatBentos:Mussas","Mycteroperca bonaci","metros","20","bonaci","Aceptado","2019/03/14","Mussas",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11° 04.402' N","74° 27.343'O",NA,NA,"11° 04.402' N y 74° 27.343'O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PreservedSpecimen","FFRMGFGJG307","Teleostei","Reef Fish",NA,NA,NA,"2",-23.028,-44.309,"2003-11-02T12:00:00Z",NA,"Serranidae","Mycteroperca",NA,"MMA/BIO23","Animalia","Ilha do Calombo",12,NA,12,NA,NA,"11",NA,NA,"Perciformes","Chordata",NA,NA,NA,"Mycteroperca bonaci","(Poey, 1860)","urn:lsid:marinespecies.org:taxname:159231","2003","5840c800-8542-4ccc-9236-f4b41fba742f","eddee438-1ec9-4e50-83ca-a7ee7bc324cc","dde0dbd3-92fb-41e6-9f51-b1ae930a934b",12,1067731200000,1067731200000,1067731200000,2003,FALSE,FALSE,TRUE,FALSE,"Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Serranoidei","Epinephelinae","Mycteroperca bonaci",2,1821,146419,1828,152352,10194,843664,293496,293496,11014,1617140,125561,151758,126069,159231,159231,"Mycteroperca bonaci","NT",252,126,23.75,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26","Ferreira, C.E.L.; Ferreira, C.G.W.; Rangel, C.A.; Mendonca, J.P.; Gerhardinger, L.C.; Filho, A.C.; Godoy, E.A.; Junior, O.L.; Gasparini, J.L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HumanObservation","agrra_fish","Teleostei","agrra_fish",NA,NA,NA,"30",-17.9653339386,-38.703666687,"2000-03-30T12:00:00Z",NA,"Serranidae","Mycteroperca",NA,"AGRRA","Animalia",NA,5.6,NA,5.6,NA,NA,"3",NA,NA,"Perciformes","Chordata",NA,NA,NA,"Mycteroperca bonaci",NA,"urn:lsid:marinespecies.org:taxname:159231","2000","586be3ea-7807-4094-a223-337625094f5b","e191604f-fe12-424a-9bc7-98100d969515","310922b4-9d0c-4de1-92d7-9b442d34765b",5.6,954374400000,954374400000,954374400000,2000,FALSE,FALSE,TRUE,FALSE,"Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Serranoidei","Epinephelinae","Mycteroperca bonaci",2,1821,146419,1828,152352,10194,843664,293496,293496,11014,1617140,125561,151758,126069,159231,159231,"Mycteroperca bonaci","NT",-2,26,25.9,37.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
