"","full_auc","cv_auc","model"
"1",0.879770992366412,0.574427480916031,1
"2",0.886041439476554,0.676935659760087,2
"3",0.883042529989095,0.678844056706652,3
"4",0.894492911668484,0.702562704471101,4
