"","dss","dss_sd","block_dss","block_dss_sd","rmse","block_rmse","full_pred_dev","model"
"1",12.5081097263735,4.88688435044879,14.3726936167363,10.027579855878,80.9359824774505,49.9258636908799,68.0075237836817,1
"2",12.7077415344271,4.89869141665207,14.3642176071868,10.022260610884,83.4991717599673,50.6879378000772,71.4062727345903,2
"3",13.1520930246791,5.75080730989995,15.4272595258355,11.462478940833,86.4328893600511,51.3916593186633,73.1860376350939,3
"4",13.1956182891526,5.7241367310565,14.861974331143,10.5053681020559,87.7490939501191,51.4693929465133,74.1543076457349,4
