"gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue"
1287549100,"38f06820-08c5-42b2-94f6-47cc3e83a54a","M1_DATA.39825","Animalia","Chordata",NA,"Perciformes","Labridae","Halichoeres","Halichoeres radiatus",NA,"SPECIES","Halichoeres radiatus (Linnaeus, 1758)","Halichoeres radiatus","","PA","Chichime SW","","PRESENT",2,"3fe68b43-b4b5-4b04-82d8-cca29f8e2164",9.5877,-78.8892,NA,NA,NA,NA,NA,NA,2011-03-28 00:00:00,28,3,2011,2384111,2384111,"HUMAN_OBSERVATION","RLS","","","","",NA,"CC_BY_4_0","RLS","NJM","","",2023-01-24 18:55:11,"","CONTINENT_DERIVED_FROM_COORDINATES;FOOTPRINT_WKT_MISMATCH"
1287550036,"38f06820-08c5-42b2-94f6-47cc3e83a54a","M1_DATA.339810","Animalia","Chordata",NA,"Perciformes","Labridae","Halichoeres","Halichoeres radiatus",NA,"SPECIES","Halichoeres radiatus (Linnaeus, 1758)","Halichoeres radiatus","","US","Coffins Patch E FL","","PRESENT",6,"3fe68b43-b4b5-4b04-82d8-cca29f8e2164",24.6858,-80.9629,NA,NA,NA,NA,NA,NA,2010-10-17 00:00:00,17,10,2010,2384111,2384111,"HUMAN_OBSERVATION","RLS","","","","",NA,"CC_BY_4_0","RLS","GJE","","",2023-01-24 18:55:11,"","FOOTPRINT_WKT_MISMATCH"
1287548364,"38f06820-08c5-42b2-94f6-47cc3e83a54a","M1_DATA.44565","Animalia","Chordata",NA,"Perciformes","Labridae","Halichoeres","Halichoeres radiatus",NA,"SPECIES","Halichoeres radiatus (Linnaeus, 1758)","Halichoeres radiatus","","CO","Little Reef 3","","PRESENT",2,"3fe68b43-b4b5-4b04-82d8-cca29f8e2164",12.5834,-81.6853,NA,NA,NA,NA,NA,NA,2011-03-24 00:00:00,24,3,2011,2384111,2384111,"HUMAN_OBSERVATION","RLS","","","","",NA,"CC_BY_4_0","RLS","MLD","","",2023-01-24 18:55:30,"","CONTINENT_DERIVED_FROM_COORDINATES;FOOTPRINT_WKT_MISMATCH"
1287867577,"38f06820-08c5-42b2-94f6-47cc3e83a54a","M1_DATA.45193","Animalia","Chordata",NA,"Perciformes","Labridae","Halichoeres","Halichoeres radiatus",NA,"SPECIES","Halichoeres radiatus (Linnaeus, 1758)","Halichoeres radiatus","","BZ","CBC Lagoon 15","","PRESENT",2,"3fe68b43-b4b5-4b04-82d8-cca29f8e2164",16.8086,-88.0862,NA,NA,NA,NA,NA,NA,2015-09-18 00:00:00,18,9,2015,2384111,2384111,"HUMAN_OBSERVATION","RLS","","","","",NA,"CC_BY_4_0","RLS","SJ","","",2023-01-24 18:55:42,"","CONTINENT_DERIVED_FROM_COORDINATES;FOOTPRINT_WKT_MISMATCH"
1287546909,"38f06820-08c5-42b2-94f6-47cc3e83a54a","M1_DATA.40323","Animalia","Chordata",NA,"Perciformes","Labridae","Halichoeres","Halichoeres radiatus",NA,"SPECIES","Halichoeres radiatus (Linnaeus, 1758)","Halichoeres radiatus","","CO","The Pinacles","","PRESENT",1,"3fe68b43-b4b5-4b04-82d8-cca29f8e2164",13.3803,-81.3389,NA,NA,NA,NA,NA,NA,2011-03-18 00:00:00,18,3,2011,2384111,2384111,"HUMAN_OBSERVATION","RLS","","","","",NA,"CC_BY_4_0","RLS","GJE","","",2023-01-24 18:55:10,"","CONTINENT_DERIVED_FROM_COORDINATES;FOOTPRINT_WKT_MISMATCH"
1287550337,"38f06820-08c5-42b2-94f6-47cc3e83a54a","M1_DATA.335205","Animalia","Chordata",NA,"Perciformes","Labridae","Halichoeres","Halichoeres radiatus",NA,"SPECIES","Halichoeres radiatus (Linnaeus, 1758)","Halichoeres radiatus","","US","Pillar Patch FL","","PRESENT",1,"3fe68b43-b4b5-4b04-82d8-cca29f8e2164",24.6822,-80.9707,NA,NA,NA,NA,NA,NA,2010-10-19 00:00:00,19,10,2010,2384111,2384111,"HUMAN_OBSERVATION","RLS","","","","",NA,"CC_BY_4_0","RLS","GJE","","",2023-01-24 18:55:11,"","FOOTPRINT_WKT_MISMATCH"
1287867543,"38f06820-08c5-42b2-94f6-47cc3e83a54a","M1_DATA.42649","Animalia","Chordata",NA,"Perciformes","Labridae","Halichoeres","Halichoeres radiatus",NA,"SPECIES","Halichoeres radiatus (Linnaeus, 1758)","Halichoeres radiatus","","BZ","CBC House Reef","","PRESENT",1,"3fe68b43-b4b5-4b04-82d8-cca29f8e2164",16.8013,-88.0831,NA,NA,NA,NA,NA,NA,2015-09-19 00:00:00,19,9,2015,2384111,2384111,"HUMAN_OBSERVATION","RLS","","","","",NA,"CC_BY_4_0","RLS","SJ","","",2023-01-24 18:55:28,"","CONTINENT_DERIVED_FROM_COORDINATES;FOOTPRINT_WKT_MISMATCH"
1287545821,"38f06820-08c5-42b2-94f6-47cc3e83a54a","M1_DATA.37684","Animalia","Chordata",NA,"Perciformes","Labridae","Halichoeres","Halichoeres radiatus",NA,"SPECIES","Halichoeres radiatus (Linnaeus, 1758)","Halichoeres radiatus","","US","Windjammer wreck","","PRESENT",1,"3fe68b43-b4b5-4b04-82d8-cca29f8e2164",24.6243,-82.943,NA,NA,NA,NA,NA,NA,2011-03-08 00:00:00,8,3,2011,2384111,2384111,"HUMAN_OBSERVATION","RLS","","","","",NA,"CC_BY_4_0","RLS","GJE","","",2023-01-24 18:55:10,"","CONTINENT_DERIVED_FROM_COORDINATES;FOOTPRINT_WKT_MISMATCH"
1287547144,"38f06820-08c5-42b2-94f6-47cc3e83a54a","M1_DATA.44227","Animalia","Chordata",NA,"Perciformes","Labridae","Halichoeres","Halichoeres radiatus",NA,"SPECIES","Halichoeres radiatus (Linnaeus, 1758)","Halichoeres radiatus","","CO","Two Islands","","PRESENT",1,"3fe68b43-b4b5-4b04-82d8-cca29f8e2164",13.4002,-81.374,NA,NA,NA,NA,NA,NA,2011-03-20 00:00:00,20,3,2011,2384111,2384111,"HUMAN_OBSERVATION","RLS","","","","",NA,"CC_BY_4_0","RLS","MLD","","",2023-01-24 18:55:11,"","CONTINENT_DERIVED_FROM_COORDINATES;FOOTPRINT_WKT_MISMATCH"
1287547162,"38f06820-08c5-42b2-94f6-47cc3e83a54a","M1_DATA.44226","Animalia","Chordata",NA,"Perciformes","Labridae","Halichoeres","Halichoeres radiatus",NA,"SPECIES","Halichoeres radiatus (Linnaeus, 1758)","Halichoeres radiatus","","CO","Two Islands","","PRESENT",2,"3fe68b43-b4b5-4b04-82d8-cca29f8e2164",13.4002,-81.374,NA,NA,NA,NA,NA,NA,2011-03-20 00:00:00,20,3,2011,2384111,2384111,"HUMAN_OBSERVATION","RLS","","","","",NA,"CC_BY_4_0","RLS","MLD","","",2023-01-24 18:55:11,"","CONTINENT_DERIVED_FROM_COORDINATES;FOOTPRINT_WKT_MISMATCH"
