x y similarity
49b938b5-2d5a-43c0-92f9-26354f189f82 4d2a31a3-bb76-4ffe-a2f9-817e975f6ba9 0
49b938b5-2d5a-43c0-92f9-26354f189f82 54d75f8a-0ced-44b6-b35a-d04c9183020f 0
49b938b5-2d5a-43c0-92f9-26354f189f82 5cee0d88-c2bd-47fe-9a02-5e1a34af8fb3 0
49b938b5-2d5a-43c0-92f9-26354f189f82 7a950cb1-88cc-4401-9368-1495e64586ff 0
49b938b5-2d5a-43c0-92f9-26354f189f82 89e23fc8-3f61-4480-9de3-358fe6eefe0b 0
49b938b5-2d5a-43c0-92f9-26354f189f82 c7d062de-eeb2-42e8-843a-7086e0d14420 0
49b938b5-2d5a-43c0-92f9-26354f189f82 eddee438-1ec9-4e50-83ca-a7ee7bc324cc 0
c7d062de-eeb2-42e8-843a-7086e0d14420 eddee438-1ec9-4e50-83ca-a7ee7bc324cc 0
47edd06e-212a-4677-9abb-6384a0cac20a 49b938b5-2d5a-43c0-92f9-26354f189f82 0
4d2a31a3-bb76-4ffe-a2f9-817e975f6ba9 54d75f8a-0ced-44b6-b35a-d04c9183020f 0300cb5e2-4431-4ec8-af71-8c6078305e50 47edd06e-212a-4677-9abb-6384a0cac20a 0

4d2a31a3-bb76-4ffe-a2f9-817e975f6ba9 5cee0d88-c2bd-47fe-9a02-5e1a34af8fb3 0
300cb5e2-4431-4ec8-af71-8c6078305e50 49b938b5-2d5a-43c0-92f9-26354f189f82 0
4d2a31a3-bb76-4ffe-a2f9-817e975f6ba9 7a950cb1-88cc-4401-9368-1495e64586ff 0
4d2a31a3-bb76-4ffe-a2f9-817e975f6ba9 89e23fc8-3f61-4480-9de3-358fe6eefe0b 0
4d2a31a3-bb76-4ffe-a2f9-817e975f6ba9 c7d062de-eeb2-42e8-843a-7086e0d14420 0
4d2a31a3-bb76-4ffe-a2f9-817e975f6ba9 eddee438-1ec9-4e50-83ca-a7ee7bc324cc 0
47edd06e-212a-4677-9abb-6384a0cac20a 4d2a31a3-bb76-4ffe-a2f9-817e975f6ba9 0
47edd06e-212a-4677-9abb-6384a0cac20a 54d75f8a-0ced-44b6-b35a-d04c9183020f 0
47edd06e-212a-4677-9abb-6384a0cac20a 5cee0d88-c2bd-47fe-9a02-5e1a34af8fb3 0
47edd06e-212a-4677-9abb-6384a0cac20a 7a950cb1-88cc-4401-9368-1495e64586ff 1
47edd06e-212a-4677-9abb-6384a0cac20a 89e23fc8-3f61-4480-9de3-358fe6eefe0b 0
300cb5e2-4431-4ec8-af71-8c6078305e50 4d2a31a3-bb76-4ffe-a2f9-817e975f6ba9 047edd06e-212a-4677-9abb-6384a0cac20a c7d062de-eeb2-42e8-843a-7086e0d14420 0

300cb5e2-4431-4ec8-af71-8c6078305e50 54d75f8a-0ced-44b6-b35a-d04c9183020f 047edd06e-212a-4677-9abb-6384a0cac20a eddee438-1ec9-4e50-83ca-a7ee7bc324cc 0

300cb5e2-4431-4ec8-af71-8c6078305e50 5cee0d88-c2bd-47fe-9a02-5e1a34af8fb3 0
89e23fc8-3f61-4480-9de3-358fe6eefe0b c7d062de-eeb2-42e8-843a-7086e0d14420 0
300cb5e2-4431-4ec8-af71-8c6078305e50 7a950cb1-88cc-4401-9368-1495e64586ff 0
89e23fc8-3f61-4480-9de3-358fe6eefe0b eddee438-1ec9-4e50-83ca-a7ee7bc324cc 0
300cb5e2-4431-4ec8-af71-8c6078305e50 89e23fc8-3f61-4480-9de3-358fe6eefe0b 0
300cb5e2-4431-4ec8-af71-8c6078305e50 c7d062de-eeb2-42e8-843a-7086e0d14420 0
300cb5e2-4431-4ec8-af71-8c6078305e50 eddee438-1ec9-4e50-83ca-a7ee7bc324cc 0
7a950cb1-88cc-4401-9368-1495e64586ff 89e23fc8-3f61-4480-9de3-358fe6eefe0b 0
7a950cb1-88cc-4401-9368-1495e64586ff c7d062de-eeb2-42e8-843a-7086e0d14420 0
7a950cb1-88cc-4401-9368-1495e64586ff eddee438-1ec9-4e50-83ca-a7ee7bc324cc 0
5cee0d88-c2bd-47fe-9a02-5e1a34af8fb3 7a950cb1-88cc-4401-9368-1495e64586ff 0
54d75f8a-0ced-44b6-b35a-d04c9183020f 5cee0d88-c2bd-47fe-9a02-5e1a34af8fb3 0
5cee0d88-c2bd-47fe-9a02-5e1a34af8fb3 89e23fc8-3f61-4480-9de3-358fe6eefe0b 0
54d75f8a-0ced-44b6-b35a-d04c9183020f 7a950cb1-88cc-4401-9368-1495e64586ff 0
5cee0d88-c2bd-47fe-9a02-5e1a34af8fb3 c7d062de-eeb2-42e8-843a-7086e0d14420 0
54d75f8a-0ced-44b6-b35a-d04c9183020f 89e23fc8-3f61-4480-9de3-358fe6eefe0b 0
5cee0d88-c2bd-47fe-9a02-5e1a34af8fb3 eddee438-1ec9-4e50-83ca-a7ee7bc324cc 0
54d75f8a-0ced-44b6-b35a-d04c9183020f c7d062de-eeb2-42e8-843a-7086e0d14420 0
54d75f8a-0ced-44b6-b35a-d04c9183020f eddee438-1ec9-4e50-83ca-a7ee7bc324cc 0
