"","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld"
"salinitymean",0.683482319390769,0.232382172645793,0.232229180583232,0.681678610000607,1.14496914931284,0.67813675672011,6.26067503643514e-09
"ph",-0.172762945693713,0.181355455165136,-0.529230361525102,-0.172813650984665,0.183979445989493,-0.172936048872926,3.67608737768165e-09
"distcoast",-2.66559162083975,0.299117964799918,-3.26061988117152,-2.66276274717063,-2.08657201718656,-2.65713136069261,8.45041661672821e-09
"Intercept",-13.3757656177843,0.57183185572249,-14.5877664714909,-13.3444587685412,-12.3436018605358,-13.2843269836882,3.04430305294098e-07
"intercept_pa",-6.2430866360152,0.693568337921684,-7.68256199086742,-6.21936892135947,-4.96089645033883,-6.18809777629005,1.6872104545782e-07
"sigma",6.18852247908919,1.14840506472075,4.34303863545022,6.03875835657985,8.83310832016917,NA,NA
"range",0.708137903793354,0.0774946650433659,0.565682855277503,0.704819934346544,0.869666278712436,NA,NA
"temp_sd",1.06800698188079,0.340598116652421,0.53651835376351,1.02306242573678,1.85670804178936,NA,NA
