"","full_auc","cv_auc","full_tss","cv_tss","full_boyce","cv_boyce","model"
"1",0.805574136008919,0.511705685618729,0.541360089186176,0.254403567447046,0.971,0.812,1
"2",0.809364548494983,0.487625418060201,0.550055741360089,0.160535117056856,0.964,0.743,2
"3",0.794648829431438,0.507023411371237,0.532664437012263,0.219620958751394,0.974,0.709,3
