"basisOfRecord","class","country","datasetID","datasetName","decimalLatitude","decimalLongitude","eventDate","eventID","family","genus","geodeticDatum","habitat","kingdom","license","maximumDepthInMeters","maximumElevationInMeters","minimumDepthInMeters","minimumElevationInMeters","modified","occurrenceID","occurrenceStatus","order","ownerInstitutionCode","phylum","references","samplingEffort","samplingProtocol","scientificName","scientificNameAuthorship","scientificNameID","stateProvince","taxonRank","waterBody","id","dataset_id","node_id","depth","date_start","date_mid","date_end","date_year","dropped","absence","marine","brackish","subphylum","infraphylum","parvphylum","gigaclass","superclass","subclass","species","kingdomid","phylumid","subphylumid","infraphylumid","parvphylumid","gigaclassid","superclassid","classid","subclassid","orderid","familyid","genusid","speciesid","aphiaID","originalScientificName","bathymetry","shoredistance","sst","sss","type","locality","recordedBy","collectionID","recordNumber","rightsHolder","catalogNumber","collectionCode","individualCount","institutionCode","coordinateUncertaintyInMeters","terrestrial","year","month","language","countryCode","fieldNumber","verbatimDepth","vernacularName","higherGeography","locationRemarks","nameAccordingTo","specificEpithet","dynamicProperties","occurrenceRemarks","bibliographicCitation","continent","county","day","eventRemarks","fieldNotes","identificationVerificationStatus","institutionID","locationID","nomenclaturalCode","organismQuantity","organismQuantityType","parentEventID","previousIdentifications","sampleSizeUnit","sampleSizeValue","taxonomicStatus","verbatimCoordinates","verbatimEventDate","verbatimLatitude","verbatimLocality","verbatimLongitude","island","islandGroup","municipality","parentNameUsageID","verbatimIdentification","georeferenceProtocol","verbatimCoordinateSystem","eventTime","georeferenceRemarks","identifiedBy","dateIdentified","higherClassification","preparations","associatedReferences","coordinatePrecision","accessRights","georeferenceSources","georeferenceVerificationStatus","georeferencedBy","georeferencedDate","higherGeographyID","identificationRemarks","locationAccordingTo","verbatimSRS","otherCatalogNumbers","startDayOfYear","nameAccordingToID","acceptedNameUsage","footprintWKT","lifeStage","associatedSequences","organismID","taxonID","materialSampleID","associatedMedia","endDayOfYear","informationWithheld","organismRemarks"
"HumanObservation","Teleostei",NA,NA,NA,21.0644664764,-79.4222869873,"2001-08-26T12:00:00Z",NA,"Labridae","Bodianus",NA,NA,"Animalia",NA,12.8,NA,12.8,NA,NA,NA,NA,"Eupercaria incertae sedis",NA,"Chordata",NA,NA,NA,"Bodianus rufus",NA,"urn:lsid:marinespecies.org:taxname:273541",NA,NA,NA,"35584963-a780-498f-82a2-6ca437d10c00","e191604f-fe12-424a-9bc7-98100d969515","310922b4-9d0c-4de1-92d7-9b442d34765b",12.8,9.98784e+11,9.98784e+11,9.98784e+11,2001,FALSE,FALSE,TRUE,FALSE,"Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Bodianus rufus",2,1821,146419,1828,152352,10194,843664,293496,293496,1517577,125541,126017,273541,273541,"Bodianus rufus",87,4258,28.13,35.7,NA,NA,NA,NA,NA,NA,"agrra_fish","agrra_fish",NA,"AGRRA",NA,NA,"2001","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HumanObservation","Teleostei","Colombia",NA,"Colombia Bio",13.362722,-81.405056,"2019-09-22/2019-10-01","Peces-2019","Labridae","Bodianus","WGS84","Arrecife de coral","Animalia",NA,23,"37",1.5,"0",NA,"UNIVALLE:Seaflower-Peces2019:137","Present","Eupercaria incertae sedis","Universidad del Valle | Universidad Nacional de Colombia | Coralina | Fundación Colombia Azul","Chordata",NA,NA,"Censo visual de peces: Buceo Errante","Bodianus rufus","(Linnaeus, 1758)",NA,"Archipiélago de San Andrés, Providencia y Santa Catalina","Especie","Mar Caribe","356c98db-f76a-49bd-a180-185e3c55d924","714266aa-123b-43b7-98a8-0529ac7f7c4c","d2f71b1b-9138-4aba-ad8f-8327ac3d041e",12.25,1569110400000,1.569456e+12,1.569888e+12,2019,FALSE,FALSE,TRUE,FALSE,"Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Bodianus rufus",2,1821,146419,1828,152352,10194,843664,293496,293496,1517577,125541,126017,273541,273541,"Bodianus rufus",71,1457,28.14,35.74,"Evento","Providencia y Santa catalina","Jose Tavera I Arturo Acero I Nacor Bolaños",NA,"137",NA,NA,NA,NA,"Universidad del Valle (UniValle)",NA,NA,"2019","09","es","CO",NA,NA,NA,NA,NA,"Froese, R. and D. Pauly. Editors. (2020). FishBase. Bodianus rufus (Linnaeus, 1758). Accessed through: World Register of Marine Species at: http://www.marinespecies.org/aphia.php?p=taxdetails&id=273541 on 2020-11-19","rufus",NA,NA,NA,"SA","Providencia","22",NA,NA,NA,"890.399.010-6",NA,NA,NA,NA,NA,"Bodianus rufus",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Archipiélago de San Andrés, Providencia y Santa Catalina",NA,NA,NA,NA,NA,"08:00/15:00",NA,"Jose Tavera | Arturo Acero","2019-09-22/2019-10-01",NA,NA,NA,NA,"Sólo para uso no comercial citando la fuente",NA,NA,"Olga Lucía Torres-Suárez",NA,NA,NA,NA,NA,NA,NA,"http://www.marinespecies.org/aphia.php?p=taxdetails&id=273541",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HumanObservation","Teleostei",NA,NA,NA,18.3157291412,-64.7427520752,"2007-07-16T14:15:00Z",NA,"Labridae","Bodianus",NA,NA,"Animalia",NA,NA,NA,NA,NA,NA,NA,NA,"Eupercaria incertae sedis",NA,"Chordata",NA,NA,NA,"Bodianus rufus",NA,"urn:lsid:marinespecies.org:taxname:273541",NA,NA,NA,"35a17e87-923e-4838-aaff-e794f1e3c3a3","a9114765-9e28-4a43-9987-4fd9f398748a","310922b4-9d0c-4de1-92d7-9b442d34765b",NA,1.184544e+12,1.184544e+12,1.184544e+12,2007,FALSE,FALSE,TRUE,FALSE,"Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Bodianus rufus",2,1821,146419,1828,152352,10194,843664,293496,293496,1517577,125541,126017,273541,273541,"Bodianus rufus",17,398,27.7,34.91,NA,NA,NA,NA,NA,NA,"VIRG-ST J-0700-0700.4029.19629",NA,NA,"NOAA-CCMA",NA,NA,"2007","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"observedindividualcount=1;","batchcode=VIRG-ST J-0700-0700;survey_index=4029;habitat_structure=HARD;permanent/random=random;management=VIIS;trophic=I",NA,NA,NA,"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HumanObservation","Teleostei","Colombia","INVEMAR:SIMAC:1999","Sistema de Monitoreo de Arrecifes Coralinos - SIMAC 2004",11.2498886,-74.2208888,"2004-11-19","INVEMAR:SIMAC:CenPec:PBT-1:2004-11-19","Labridae","Bodianus","WGS84",NA,"Animalia",NA,12,NA,9,NA,NA,"INVEMAR:SIMAC:CenPec:PBT-1:2004:M8:012738","present","Eupercaria incertae sedis",NA,"Chordata",NA,"5 censos X 2 personas X 3 parcelas= 30 censos","Protocolo SIMAC - Censo abundancia de peces arrecifales","Bodianus rufus","(Linnaeus, 1758)","urn:lsid:marinespecies.org:taxname:273541","Magdalena","Especie","Mar Caribe","35ab0711-2769-409a-a05d-23f908638f58","95dcd908-a6b9-4422-a441-42caa46724f5","d2f71b1b-9138-4aba-ad8f-8327ac3d041e",10.5,1100822400000,1100822400000,1100822400000,2004,FALSE,FALSE,TRUE,FALSE,"Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Bodianus rufus",2,1821,146419,1828,152352,10194,843664,293496,293496,1517577,125541,126017,273541,273541,"Bodianus rufus",24,47,27.49,35.24,NA,"Santa Marta, Punta Betín - Sector Área coralina Estación PBT 1","Guillermo Duque Nivia | Adriana Aguirre Aguirre",NA,NA,NA,NA,NA,NA,"Instituto de Investigaciones Marinas y Costeras “José Benito Vives de Andréis” (Invemar)",NA,NA,"2004","11",NA,"CO",NA,NA,NA,NA,NA,NA,"rufus",NA,NA,NA,"SA","Santa Marta","19","Nivel profundidad intermedio.","El número junto a letra que indica la parcela (S, M, P) corresponde al transecto evaluado.","Verificado","800250062-0","http://marineregions.org/mrgid/25303","ICZN","1","Individuos","INVEMAR:SIMAC:CenPec:PBT","Bodianus rufus","metros cuadrados","60","Válido","""11° 14' 59.5"""" N 74° 13' 15.1"""" W""","2004/11/19","""11° 14' 59.5"""" N""","Punta de Betin","""74° 13' 15.1"""" W""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HumanObservation","Teleostei",NA,NA,NA,17.8001499176,-64.6074523926,"2005-03-21T12:45:00Z",NA,"Labridae","Bodianus",NA,NA,"Animalia",NA,NA,NA,NA,NA,NA,NA,NA,"Eupercaria incertae sedis",NA,"Chordata",NA,NA,NA,"Bodianus rufus",NA,"urn:lsid:marinespecies.org:taxname:273541",NA,NA,NA,"35c1ecb8-37e8-45ea-9c23-e2fcd2dd6546","bbf10b27-f6f8-4258-a07b-9e764bd511f6","310922b4-9d0c-4de1-92d7-9b442d34765b",NA,1111363200000,1111363200000,1111363200000,2005,FALSE,FALSE,TRUE,FALSE,"Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Bodianus rufus",2,1821,146419,1828,152352,10194,843664,293496,293496,1517577,125541,126017,273541,273541,"Bodianus rufus",2,1456,27.82,34.81,NA,NA,NA,NA,NA,NA,"VIRG-ST C-0300-0500.2598.46187",NA,NA,"NOAA-CCMA",NA,NA,"2005","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"observedindividualcount=1;","batchcode=VIRG-ST C-0300-0500;survey_index=2598;habitat_structure=HARD;permanent/random=random;management=BUIS;trophic=I",NA,NA,NA,"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HumanObservation","Teleostei","Colombia","INVEMAR:SIMAC:1999","Sistema de Monitoreo de Arrecifes Coralinos - SIMAC 2011",9.7905833,-75.9233889,"2011-11-20","INVEMAR:SIMAC:CenPec:MIN-1:2011-11-20","Labridae","Bodianus","WGS84","Area coralina","Animalia",NA,7,NA,6,NA,NA,"INVEMAR:SIMAC:CenPec:MIN-1:2011:S8:032202","present","Eupercaria incertae sedis",NA,"Chordata",NA,"5 censos X 2 personas X 3 parcelas= 30 censos","Protocolo SIMAC - Censo abundancia de peces arrecifales","Bodianus rufus","(Linnaeus, 1758)","urn:lsid:marinespecies.org:taxname:273541","Bolívar","Especie","Mar Caribe","35ca34f5-b42b-4790-8431-4eedf2ea66ed","95dcd908-a6b9-4422-a441-42caa46724f5","d2f71b1b-9138-4aba-ad8f-8327ac3d041e",6.5,1321747200000,1321747200000,1321747200000,2011,FALSE,FALSE,TRUE,FALSE,"Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Bodianus rufus",2,1821,146419,1828,152352,10194,843664,293496,293496,1517577,125541,126017,273541,273541,"Bodianus rufus",75,5266,28.83,34.83,NA,"Parque Nacional Natural Corales del Rosario y San Bernardo, Noroeste Isla Mucura Minalta Estación MIN 1","Tomás López Londoño | Cindy Melissa Montero",NA,NA,NA,NA,NA,NA,"Instituto de Investigaciones Marinas y Costeras “José Benito Vives de Andréis” (Invemar)",NA,NA,"2011","11",NA,"CO",NA,NA,NA,NA,NA,NA,"rufus",NA,NA,NA,"SA","Cartagena de Indias","20",NA,"El número junto a letra que indica la parcela (S, M, P) corresponde al transecto evaluado.","Verificado","800250062-0","http://marineregions.org/mrgid/25303","ICZN","1","Individuos","INVEMAR:SIMAC:CenPec:MIN","Bodianus rufus","metros cuadrados","60","Válido","""9° 47' 26"""" N 75° 55' 24.2"""" W""","2011/11/20","""9° 47' 26"""" N""","Minalta","""75° 55' 24.2"""" W""",NA,"Archipiélago Corales del Rosario y San Bernardo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HumanObservation","Teleostei","Colombia","INVEMAR:SIMAC:1999","Sistema de Monitoreo de Arrecifes Coralinos - SIMAC 2006",12.5551833,-81.6956166,"2006-09-22","INVEMAR:SIMAC:CenPec:ACU-1:2006-09-22","Labridae","Bodianus","WGS84","Area coralina","Animalia",NA,6,NA,3,NA,NA,"INVEMAR:SIMAC:CenPec:ACU-1:2006:S6:016834","present","Eupercaria incertae sedis",NA,"Chordata",NA,"5 censos X 2 personas X 3 parcelas= 30 censos","Protocolo SIMAC - Censo abundancia de peces arrecifales","Bodianus rufus","(Linnaeus, 1758)","urn:lsid:marinespecies.org:taxname:273541","Archipiélago de San Andrés, Providencia y Santa Catalina","Especie","Mar Caribe","35eb0f9c-263d-46c0-b067-4605191de18c","95dcd908-a6b9-4422-a441-42caa46724f5","d2f71b1b-9138-4aba-ad8f-8327ac3d041e",4.5,1158883200000,1158883200000,1158883200000,2006,FALSE,FALSE,TRUE,FALSE,"Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Bodianus rufus",2,1821,146419,1828,152352,10194,843664,293496,293496,1517577,125541,126017,273541,273541,"Bodianus rufus",5,749,28.18,35.71,NA,"Reserva de Biosfera Sea Flower, Acuario Estación ACU 1","Katherine Bernal",NA,NA,NA,NA,NA,NA,"Instituto de Investigaciones Marinas y Costeras “José Benito Vives de Andréis” (Invemar)",NA,NA,"2006","09",NA,"CO",NA,NA,NA,NA,NA,NA,"rufus",NA,NA,NA,"SA","San Andrés","22","Nivel profundidad somera.","El número junto a letra que indica la parcela (S, M, P) corresponde al transecto evaluado.","Verificado","800250062-0","http://marineregions.org/mrgid/25303","ICZN","1","Individuos","INVEMAR:SIMAC:CenPec:ACU","Bodianus rufus","metros cuadrados","60","Válido","""12° 33' 18.6"""" N 81° 41' 44.2"""" W""","2006/09/22","""12° 33' 18.6"""" N""","Acuario 1","""81° 41' 44.2"""" W""","San Andrés Isla","Archipiélago de San Andrés, Providencia y Santa Catalina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HumanObservation","Teleostei","Colombia","INVEMAR:SIMAC:1999","Sistema de Monitoreo de Arrecifes Coralinos - SIMAC 2010",10.1708889,-75.7888611,"2010-08-15","INVEMAR:SIMAC:CenPec:COC-1:2010-08-15","Labridae","Bodianus","WGS84","Area coralina","Animalia",NA,12,NA,5,NA,NA,"INVEMAR:SIMAC:CenPec:COC-1:2010:M2:028402","present","Eupercaria incertae sedis",NA,"Chordata",NA,"5 censos X 2 personas X 3 parcelas= 30 censos","Protocolo SIMAC - Censo abundancia de peces arrecifales","Bodianus rufus","(Linnaeus, 1758)","urn:lsid:marinespecies.org:taxname:273541","Bolívar","Especie","Mar Caribe","360cd37c-9374-4e4d-bea5-069d58b2227c","95dcd908-a6b9-4422-a441-42caa46724f5","d2f71b1b-9138-4aba-ad8f-8327ac3d041e",8.5,1281830400000,1281830400000,1281830400000,2010,FALSE,FALSE,TRUE,FALSE,"Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Bodianus rufus",2,1821,146419,1828,152352,10194,843664,293496,293496,1517577,125541,126017,273541,273541,"Bodianus rufus",6,423,28.7,35.19,NA,"Parque Nacional Natural Corales del Rosario y San Bernardo, La Coca Estación COC 1","Johanna Carolina Vega Sequeda | Cindy Melissa Montero",NA,NA,NA,NA,NA,NA,"Instituto de Investigaciones Marinas y Costeras “José Benito Vives de Andréis” (Invemar)",NA,NA,"2010","08",NA,"CO",NA,NA,NA,NA,NA,NA,"rufus",NA,NA,NA,"SA","Cartagena de Indias","15","Niveles profundidad somero y medio.","El número junto a letra que indica la parcela (S, M, P) corresponde al transecto evaluado.","Verificado","800250062-0","http://marineregions.org/mrgid/25303","ICZN","2","Individuos","INVEMAR:SIMAC:CenPec:COC","Bodianus rufus","metros cuadrados","60","Válido","""10° 10' 15.2"""" N 75° 47' 19.8"""" W""","2010/08/15","""10° 10' 15.2"""" N""","La Coca","""75° 47' 19.8"""" W""",NA,"Archipiélago Corales del Rosario y San Bernardo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HumanObservation","Teleostei",NA,NA,NA,17.6163330078,-63.2584991455,"1999-12-06T00:22:30Z",NA,"Labridae","Bodianus",NA,NA,"Animalia",NA,9.4,NA,9.4,NA,NA,NA,NA,"Eupercaria incertae sedis",NA,"Chordata",NA,NA,NA,"Bodianus rufus",NA,"urn:lsid:marinespecies.org:taxname:273541",NA,NA,NA,"36260076-5119-4d63-97e2-95e95c823d6a","e191604f-fe12-424a-9bc7-98100d969515","310922b4-9d0c-4de1-92d7-9b442d34765b",9.4,944438400000,944438400000,944438400000,1999,FALSE,FALSE,TRUE,FALSE,"Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Bodianus rufus",2,1821,146419,1828,152352,10194,843664,293496,293496,1517577,125541,126017,273541,273541,"Bodianus rufus",227,277,27.83,34.76,NA,NA,NA,NA,NA,NA,"agrra_fish","agrra_fish",NA,"AGRRA",NA,NA,"1999","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HumanObservation","Teleostei",NA,NA,NA,18.5282669067,-77.8166503906,"2000-08-15T00:31:14Z",NA,"Labridae","Bodianus",NA,NA,"Animalia",NA,9.3,NA,9.3,NA,NA,NA,NA,"Eupercaria incertae sedis",NA,"Chordata",NA,NA,NA,"Bodianus rufus",NA,"urn:lsid:marinespecies.org:taxname:273541",NA,NA,NA,"362bfe54-b5bc-4dd8-bfd4-aeac00427cb9","e191604f-fe12-424a-9bc7-98100d969515","310922b4-9d0c-4de1-92d7-9b442d34765b",9.3,966297600000,966297600000,966297600000,2000,FALSE,FALSE,TRUE,FALSE,"Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Bodianus rufus",2,1821,146419,1828,152352,10194,843664,293496,293496,1517577,125541,126017,273541,273541,"Bodianus rufus",2,462,28.42,35.63,NA,NA,NA,NA,NA,NA,"agrra_fish","agrra_fish",NA,"AGRRA",NA,NA,"2000","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HumanObservation","Teleostei",NA,NA,NA,22.718334198,-79.3630523682,"2001-05-28T00:36:14Z",NA,"Labridae","Bodianus",NA,NA,"Animalia",NA,1.1,NA,1.1,NA,NA,NA,NA,"Eupercaria incertae sedis",NA,"Chordata",NA,NA,NA,"Bodianus rufus",NA,"urn:lsid:marinespecies.org:taxname:273541",NA,NA,NA,"362c4756-b204-495e-b4fd-28cdcf1d097a","e191604f-fe12-424a-9bc7-98100d969515","310922b4-9d0c-4de1-92d7-9b442d34765b",1.1,9.91008e+11,9.91008e+11,9.91008e+11,2001,FALSE,FALSE,TRUE,FALSE,"Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Bodianus rufus",2,1821,146419,1828,152352,10194,843664,293496,293496,1517577,125541,126017,273541,273541,"Bodianus rufus",14,4989,27.43,36.15,NA,NA,NA,NA,NA,NA,"agrra_fish","agrra_fish",NA,"AGRRA",NA,NA,"2001","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HumanObservation","Teleostei",NA,NA,NA,19.8250007629,-87.4477767944,"1999-08-22T12:00:00Z",NA,"Labridae","Bodianus",NA,NA,"Animalia",NA,11.4,NA,11.4,NA,NA,NA,NA,"Eupercaria incertae sedis",NA,"Chordata",NA,NA,NA,"Bodianus rufus",NA,"urn:lsid:marinespecies.org:taxname:273541",NA,NA,NA,"364824fa-957d-4b5a-82dc-651def198199","e191604f-fe12-424a-9bc7-98100d969515","310922b4-9d0c-4de1-92d7-9b442d34765b",11.4,9.3528e+11,9.3528e+11,9.3528e+11,1999,FALSE,FALSE,TRUE,FALSE,"Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Bodianus rufus",2,1821,146419,1828,152352,10194,843664,293496,293496,1517577,125541,126017,273541,273541,"Bodianus rufus",10,1110,27.96,35.8,NA,NA,NA,NA,NA,NA,"agrra_fish","agrra_fish",NA,"AGRRA",NA,NA,"1999","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HumanObservation","Teleostei",NA,NA,NA,17.355266571,-87.9536972046,"2000-07-10T00:21:14Z",NA,"Labridae","Bodianus",NA,NA,"Animalia",NA,9.9,NA,9.9,NA,NA,NA,NA,"Eupercaria incertae sedis",NA,"Chordata",NA,NA,NA,"Bodianus rufus",NA,"urn:lsid:marinespecies.org:taxname:273541",NA,NA,NA,"364a4c85-8ff4-4ea8-8ccf-7e6069d134c6","e191604f-fe12-424a-9bc7-98100d969515","310922b4-9d0c-4de1-92d7-9b442d34765b",9.9,963187200000,963187200000,963187200000,2000,FALSE,FALSE,TRUE,FALSE,"Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Bodianus rufus",2,1821,146419,1828,152352,10194,843664,293496,293496,1517577,125541,126017,273541,273541,"Bodianus rufus",2,3559,28.07,35.61,NA,NA,NA,NA,NA,NA,"agrra_fish","agrra_fish",NA,"AGRRA",NA,NA,"2000","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HumanObservation","Teleostei",NA,NA,NA,26.3575000763,-76.9768295288,"1999-08-15T00:24:22Z",NA,"Labridae","Bodianus",NA,NA,"Animalia",NA,8,NA,8,NA,NA,NA,NA,"Eupercaria incertae sedis",NA,"Chordata",NA,NA,NA,"Bodianus rufus",NA,"urn:lsid:marinespecies.org:taxname:273541",NA,NA,NA,"36773bf1-387c-4dec-902f-94912986d03d","e191604f-fe12-424a-9bc7-98100d969515","310922b4-9d0c-4de1-92d7-9b442d34765b",8,934675200000,934675200000,934675200000,1999,FALSE,FALSE,TRUE,FALSE,"Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Bodianus rufus",2,1821,146419,1828,152352,10194,843664,293496,293496,1517577,125541,126017,273541,273541,"Bodianus rufus",3,535,26.36,36.46,NA,NA,NA,NA,NA,NA,"agrra_fish","agrra_fish",NA,"AGRRA",NA,NA,"1999","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HumanObservation","Teleostei","Colombia","INVEMAR:SIMAC:1999","Sistema de Monitoreo de Arrecifes Coralinos - SIMAC 2006",11.3298611,-74.1286111,"2006-10-27","INVEMAR:SIMAC:CenPec:CHE-2:2006-10-27","Labridae","Bodianus","WGS84","Area coralina","Animalia",NA,17,NA,3,NA,NA,"INVEMAR:SIMAC:CenPec:CHE-2:2006:P4:018761","present","Eupercaria incertae sedis",NA,"Chordata",NA,"5 censos X 2 personas X 3 parcelas= 30 censos","Protocolo SIMAC - Censo abundancia de peces arrecifales","Bodianus rufus","(Linnaeus, 1758)","urn:lsid:marinespecies.org:taxname:273541","Magdalena","Especie","Mar Caribe","369665d7-1ad4-44f7-9218-57d59bfc6402","95dcd908-a6b9-4422-a441-42caa46724f5","d2f71b1b-9138-4aba-ad8f-8327ac3d041e",10,1161907200000,1161907200000,1161907200000,2006,FALSE,FALSE,TRUE,FALSE,"Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Bodianus rufus",2,1821,146419,1828,152352,10194,843664,293496,293496,1517577,125541,126017,273541,273541,"Bodianus rufus",-10,49,27.31,35.36,NA,"Parque Nacional Natural Tayrona, Bahía Chengue C2 Estación CHE 2","Kelly Gómez Campo",NA,NA,NA,NA,NA,NA,"Instituto de Investigaciones Marinas y Costeras “José Benito Vives de Andréis” (Invemar)",NA,NA,"2006","10",NA,"CO",NA,NA,NA,NA,NA,NA,"rufus",NA,NA,NA,"SA","Santa Marta","27","Niveles profundidad somero, intermedio, profundo.","El número junto a letra que indica la parcela (S, M, P) corresponde al transecto evaluado.","Verificado","800250062-0","http://marineregions.org/mrgid/25303","ICZN","2","Individuos","INVEMAR:SIMAC:CenPec:CHE","Bodianus rufus","metros cuadrados","60","Válido","""11° 19' 47.4"""" N 74° 7' 42.9"""" W""","2006/10/27","""11° 19' 47.4"""" N""","Chengue C2","""74° 7' 42.9"""" W""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
