"decimalLongitude","decimalLatitude","scientificName","abundance","dataset"
-64.7343,18.31438,"boru",1,"gaspar"
-64.79225,18.31521,"boru",2,"gaspar"
-64.74275,18.31573,"boru",1,"gaspar"
-64.75366,18.31755,"boru",1,"gaspar"
-64.79456,18.31973,"boru",2,"gaspar"
-64.6963,18.3233,"boru",1,"gaspar"
-64.79877,18.32459,"boru",3,"gaspar"
-64.80023,18.32594,"boru",1,"gaspar"
-64.67822,18.32608,"boru",1,"gaspar"
-64.66222,18.33637,"boru",1,"gaspar"
-64.79408,18.34412,"boru",1,"gaspar"
-64.66308,18.3458,"boru",1,"gaspar"
-64.68472,18.35394,"boru",1,"gaspar"
-64.7961,18.35567,"boru",2,"gaspar"
-64.78365,18.35944,"boru",1,"gaspar"
-87.75391,18.49862,"boru",2,"gaspar"
-87.75413,18.50683,"boru",2,"gaspar"
-87.74973,18.51528,"boru",2,"gaspar"
-87.74777,18.51529,"boru",4,"gaspar"
-87.7503,18.51545,"boru",1,"gaspar"
-87.71691,18.65767,"boru",3,"gaspar"
-87.71944,18.66201,"boru",4,"gaspar"
-87.7167,18.66677,"boru",2,"gaspar"
-87.71826,18.67241,"boru",1,"gaspar"
-87.71367,18.67373,"boru",1,"gaspar"
-87.71301,18.68359,"boru",1,"gaspar"
-87.70889,18.69237,"boru",1,"gaspar"
-87.70771,18.70611,"boru",1,"gaspar"
-87.70278,18.71028,"boru",1,"gaspar"
-87.70444,18.71139,"boru",1,"gaspar"
-87.70194,18.7125,"boru",1,"gaspar"
-87.70458,18.71345,"boru",3,"gaspar"
-87.70055,18.715,"boru",2,"gaspar"
-87.70222,18.71528,"boru",1,"gaspar"
-87.70455,18.71749,"boru",1,"gaspar"
-87.62361,18.90333,"boru",5,"gaspar"
-87.53694,19.1375,"boru",41,"gaspar"
-87.53611,19.14583,"boru",43,"gaspar"
-87.53334,19.15416,"boru",32,"gaspar"
-87.45,19.2833,"boru",6,"gaspar"
-87.42564,19.48698,"boru",1,"gaspar"
-87.42294,19.48699,"boru",1,"gaspar"
-87.39986,19.57867,"boru",2,"gaspar"
-87.46556,19.7675,"boru",4,"gaspar"
-87.43546,19.79111,"boru",2,"gaspar"
-87.45094,19.96924,"boru",2,"gaspar"
-87.45833,19.98639,"boru",2,"gaspar"
-87.46336,20.03135,"boru",2,"gaspar"
-87.46511,20.04382,"boru",2,"gaspar"
-87.46557,20.04399,"boru",5,"gaspar"
-87.46093,20.05495,"boru",1,"gaspar"
-87.46596,20.05647,"boru",2,"gaspar"
-87.46601,20.05699,"boru",3,"gaspar"
-87.46867,20.0685,"boru",5,"gaspar"
-87.02721,20.36258,"boru",5,"gaspar"
-87.0284,20.37833,"boru",7,"gaspar"
-87.01624,20.42251,"boru",9,"gaspar"
-86.98365,20.46868,"boru",3,"gaspar"
-86.98365,20.4687,"boru",3,"gaspar"
-87.10982,20.58115,"boru",8,"gaspar"
-87.10977,20.5812,"boru",3,"gaspar"
-87.01667,20.61667,"boru",3,"gaspar"
-87.04858,20.64032,"boru",3,"gaspar"
-84.3079,20.64032,"boru",3,"gaspar"
-86.9667,20.7333,"boru",10,"gaspar"
-78.8498,20.76025,"boru",3,"gaspar"
-78.91812,20.77495,"boru",3,"gaspar"
-86.86667,20.86028,"boru",3,"gaspar"
-86.8,21.0333,"boru",3,"gaspar"
-80.45833,24.95306,"boru",4,"gaspar"
-80.41444,24.9875,"boru",4,"gaspar"
-82.22,9.33,"boru",1,"rls"
-82.26,9.35,"boru",1,"rls"
-78.95,9.56,"boru",1,"rls"
-78.88,9.58,"boru",1,"rls"
-78.87,9.58,"boru",1,"rls"
-78.89,9.59,"boru",2,"rls"
-68.26,12.03,"boru",1,"rls"
-68.25,12.03,"boru",1,"rls"
-68.28,12.07,"boru",1,"rls"
-68.29,12.1,"boru",1,"rls"
-68.29,12.13,"boru",1,"rls"
-68.31,12.2,"boru",2,"rls"
-68.32,12.21,"boru",2,"rls"
-68.35,12.22,"boru",1,"rls"
-81.73,12.52,"boru",1,"rls"
-81.69,12.58,"boru",1,"rls"
-81.68,12.58,"boru",3,"rls"
-81.72,12.59,"boru",1,"rls"
-81.41,13.33,"boru",2,"rls"
-81.34,13.38,"boru",1,"rls"
-80.36,14.3,"boru",1,"rls"
-80.28,14.36,"boru",1,"rls"
-80.19,14.41,"boru",1,"rls"
-88.1,16.78,"boru",1,"rls"
-88.08,16.78,"boru",1,"rls"
-88.08,16.8,"boru",1,"rls"
-88.09,16.81,"boru",1,"rls"
-88.07,16.87,"boru",1,"rls"
-81.39,19.31,"boru",2,"rls"
-72.22,21.49,"boru",1,"rls"
-72.19,21.82,"boru",2,"rls"
-81.42,24.54,"boru",2,"rls"
-81.41,24.55,"boru",2,"rls"
-82.94,24.62,"boru",2,"rls"
-81.11,24.62,"boru",2,"rls"
-81.11,24.63,"boru",2,"rls"
-81.09,24.63,"boru",1,"rls"
-80.97,24.68,"boru",1,"rls"
-81.03,24.69,"boru",1,"rls"
-80.96,24.69,"boru",1,"rls"
-80.07,26.25,"boru",1,"rls"
