"basisOfRecord","catalogNumber","collectionCode","country","county","day","decimalLatitude","decimalLongitude","eventDate","fieldNumber","institutionCode","locality","maximumDepthInMeters","minimumDepthInMeters","month","scientificName","scientificNameAuthorship","scientificNameID","waterBody","year","id","dataset_id","node_id","depth","date_start","date_mid","date_end","date_year","dropped","absence","marine","brackish","kingdom","phylum","subphylum","infraphylum","parvphylum","gigaclass","superclass","class","subclass","order","family","subfamily","genus","species","kingdomid","phylumid","subphylumid","infraphylumid","parvphylumid","gigaclassid","superclassid","classid","subclassid","orderid","familyid","subfamilyid","genusid","speciesid","aphiaID","originalScientificName","bathymetry","shoredistance","sst","sss","identifiedBy","occurrenceRemarks","recordedBy","stateProvince","typeStatus"
"PreservedSpecimen","MFSFAF1019","RAP","Brazil","Abrolhos","26",-17.478333,-39.027778,"2000-02-26T12:00:00Z","40","CI_BR","Central Timbebas Reef, Abrolhos National Park",18,7,"2","Scarus zelindae","Moura, Figueiredo & Sazima, 2001","urn:lsid:marinespecies.org:taxname:276066","South Atlantic","2000","6f99b8ae-0c77-4ae9-a690-a90f5a2d2360","7a950cb1-88cc-4401-9368-1495e64586ff","dde0dbd3-92fb-41e6-9f51-b1ae930a934b",12.5,951523200000,951523200000,951523200000,2000,FALSE,FALSE,TRUE,FALSE,"Animalia","Chordata","Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Teleostei","Eupercaria incertae sedis","Scaridae","Scarinae","Scarus","Scarus zelindae",2,1821,146419,1828,152352,10194,843664,293496,293496,1517577,125557,151787,159299,276066,276066,"Scarus zelindae",7,11949,25.88,36.95,NA,NA,NA,NA,NA
"PreservedSpecimen","MFSFAF1008","RAP","Brazil","Abrolhos","20",-17.875,-38.979167,"2000-02-20T12:00:00Z","23","CI_BR","Southern Parcel das Paredes",11,3,"2","Scarus zelindae","Moura, Figueiredo & Sazima, 2001","urn:lsid:marinespecies.org:taxname:276066","South Atlantic","2000","6fb0b537-f3d9-4f55-9271-ae20e5dd2849","7a950cb1-88cc-4401-9368-1495e64586ff","dde0dbd3-92fb-41e6-9f51-b1ae930a934b",7,951004800000,951004800000,951004800000,2000,FALSE,FALSE,TRUE,FALSE,"Animalia","Chordata","Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Teleostei","Eupercaria incertae sedis","Scaridae","Scarinae","Scarus","Scarus zelindae",2,1821,146419,1828,152352,10194,843664,293496,293496,1517577,125557,151787,159299,276066,276066,"Scarus zelindae",4,24774,25.9,36.97,NA,NA,NA,NA,NA
"PreservedSpecimen","MFSFAF1001","RAP","Brazil","Abrolhos","16",-16.886389,-39.085,"2000-02-16T12:00:00Z","14","CI_BR","Pedra Brava, Itacolomis Reefs",5.5,1,"2","Scarus zelindae","Moura, Figueiredo & Sazima, 2001","urn:lsid:marinespecies.org:taxname:276066","South Atlantic","2000","7276a7db-5445-4582-80d3-eac622f98e54","7a950cb1-88cc-4401-9368-1495e64586ff","dde0dbd3-92fb-41e6-9f51-b1ae930a934b",3.25,950659200000,950659200000,950659200000,2000,FALSE,FALSE,TRUE,FALSE,"Animalia","Chordata","Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Teleostei","Eupercaria incertae sedis","Scaridae","Scarinae","Scarus","Scarus zelindae",2,1821,146419,1828,152352,10194,843664,293496,293496,1517577,125557,151787,159299,276066,276066,"Scarus zelindae",6,2967,25.81,36.87,NA,NA,NA,NA,NA
"PreservedSpecimen","MFSFAF1013","RAP","Brazil","Abrolhos","23",-18.101944,-38.590556,"2000-02-23T12:00:00Z","31","CI_BR","California Reef, Abrolhos National Park",25.5,9,"2","Scarus zelindae","Moura, Figueiredo & Sazima, 2001","urn:lsid:marinespecies.org:taxname:276066","South Atlantic","2000","81ab0b55-aa54-401e-875d-c411ec27523b","7a950cb1-88cc-4401-9368-1495e64586ff","dde0dbd3-92fb-41e6-9f51-b1ae930a934b",17.25,9.51264e+11,9.51264e+11,9.51264e+11,2000,FALSE,FALSE,TRUE,FALSE,"Animalia","Chordata","Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Teleostei","Eupercaria incertae sedis","Scaridae","Scarinae","Scarus","Scarus zelindae",2,1821,146419,1828,152352,10194,843664,293496,293496,1517577,125557,151787,159299,276066,276066,"Scarus zelindae",6,17510,25.9,37.11,NA,NA,NA,NA,NA
"PreservedSpecimen","MFSFAF996","RAP","Brazil","Abrolhos","11",-17.996111,-39.272778,"2000-02-11T12:00:00Z","1","CI_BR","Nova Vicosa Reef",6,3,"2","Scarus zelindae","Moura, Figueiredo & Sazima, 2001","urn:lsid:marinespecies.org:taxname:276066","South Atlantic","2000","84fd8a72-433e-490c-8bbc-20d734f2e458","7a950cb1-88cc-4401-9368-1495e64586ff","dde0dbd3-92fb-41e6-9f51-b1ae930a934b",4.5,950227200000,950227200000,950227200000,2000,FALSE,FALSE,TRUE,FALSE,"Animalia","Chordata","Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Teleostei","Eupercaria incertae sedis","Scaridae","Scarinae","Scarus","Scarus zelindae",2,1821,146419,1828,152352,10194,843664,293496,293496,1517577,125557,151787,159299,276066,276066,"Scarus zelindae",5,7404,25.88,36.93,NA,NA,NA,NA,NA
"PreservedSpecimen","MFSFAF1020","RAP","Brazil","Abrolhos","27",-17.426111,-38.971111,"2000-02-27T12:00:00Z","42","CI_BR","Salteado de Timbebas",23,23,"2","Scarus zelindae","Moura, Figueiredo & Sazima, 2001","urn:lsid:marinespecies.org:taxname:276066","South Atlantic","2000","93934b7c-ef23-4369-9632-9b29a1caaa81","7a950cb1-88cc-4401-9368-1495e64586ff","dde0dbd3-92fb-41e6-9f51-b1ae930a934b",23,951609600000,951609600000,951609600000,2000,FALSE,FALSE,TRUE,FALSE,"Animalia","Chordata","Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Teleostei","Eupercaria incertae sedis","Scaridae","Scarinae","Scarus","Scarus zelindae",2,1821,146419,1828,152352,10194,843664,293496,293496,1517577,125557,151787,159299,276066,276066,"Scarus zelindae",18,16735,25.89,36.96,NA,NA,NA,NA,NA
"PreservedSpecimen","MFSFAF1016","RAP","Brazil","Abrolhos","25",-17.751944,-38.978611,"2000-02-25T12:00:00Z","37","CI_BR","Boqueirao, Parcel das Paredes",6,1.5,"2","Scarus zelindae","Moura, Figueiredo & Sazima, 2001","urn:lsid:marinespecies.org:taxname:276066","South Atlantic","2000","989b3954-79f7-492a-ba98-f69df509ba20","7a950cb1-88cc-4401-9368-1495e64586ff","dde0dbd3-92fb-41e6-9f51-b1ae930a934b",3.75,951436800000,951436800000,951436800000,2000,FALSE,FALSE,TRUE,FALSE,"Animalia","Chordata","Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Teleostei","Eupercaria incertae sedis","Scaridae","Scarinae","Scarus","Scarus zelindae",2,1821,146419,1828,152352,10194,843664,293496,293496,1517577,125557,151787,159299,276066,276066,"Scarus zelindae",3,16662,25.9,36.96,NA,NA,NA,NA,NA
"PreservedSpecimen","MFSFAF1014","RAP","Brazil","Abrolhos","24",-18.048056,-38.678889,"2000-02-24T12:00:00Z","35","CI_BR","Southern Parcel dos Abrolhos, Abrolhos National Park",25.5,8,"2","Scarus zelindae","Moura, Figueiredo & Sazima, 2001","urn:lsid:marinespecies.org:taxname:276066","South Atlantic","2000","9ef77fe5-e298-49ca-a877-646f77bd1b25","7a950cb1-88cc-4401-9368-1495e64586ff","dde0dbd3-92fb-41e6-9f51-b1ae930a934b",16.75,951350400000,951350400000,951350400000,2000,FALSE,FALSE,TRUE,FALSE,"Animalia","Chordata","Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Teleostei","Eupercaria incertae sedis","Scaridae","Scarinae","Scarus","Scarus zelindae",2,1821,146419,1828,152352,10194,843664,293496,293496,1517577,125557,151787,159299,276066,276066,"Scarus zelindae",3,7623,25.91,37.08,NA,NA,NA,NA,NA
"PreservedSpecimen","FFRMGFGJG1386","Reef Fish",NA,NA,"6",-23.137,-44.326,"2003-12-06T12:00:00Z","39","MMA/BIO23","Ponta Longa Ilha Grande",27.5,27.5,"12","Scarus zelindae","Moura, Figueiredo & Sazima, 2001","urn:lsid:marinespecies.org:taxname:276066",NA,"2003","a64a285b-eaa4-4a90-b8eb-99b96e416382","eddee438-1ec9-4e50-83ca-a7ee7bc324cc","dde0dbd3-92fb-41e6-9f51-b1ae930a934b",27.5,1070668800000,1070668800000,1070668800000,2003,FALSE,FALSE,TRUE,FALSE,"Animalia","Chordata","Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Teleostei","Eupercaria incertae sedis","Scaridae","Scarinae","Scarus","Scarus zelindae",2,1821,146419,1828,152352,10194,843664,293496,293496,1517577,125557,151787,159299,276066,276066,"Scarus zelindae",-1,69,23.74,36.02,"Ferreira, C.E.L.; Ferreira, C.G.W.; Rangel, C.A.; Mendonca, J.P.; Gerhardinger, L.C.; Filho, A.C.; Godoy, E.A.; Junior, O.L.; Gasparini, J.L.",NA,NA,NA,NA
"PreservedSpecimen","MFSFAF997","RAP","Brazil","Abrolhos","12",-18.028333,-39,"2000-02-12T12:00:00Z","3","CI_BR","Sequeiro of Popa Verde I",21.7,9,"2","Scarus zelindae","Moura, Figueiredo & Sazima, 2001","urn:lsid:marinespecies.org:taxname:276066","South Atlantic","2000","a8dfc179-fe06-4773-b1ea-886e0869baaa","7a950cb1-88cc-4401-9368-1495e64586ff","dde0dbd3-92fb-41e6-9f51-b1ae930a934b",15.35,950313600000,950313600000,950313600000,2000,FALSE,FALSE,TRUE,FALSE,"Animalia","Chordata","Vertebrata","Gnathostomata","Osteichthyes","Actinopterygii","Actinopteri","Teleostei","Teleostei","Eupercaria incertae sedis","Scaridae","Scarinae","Scarus","Scarus zelindae",2,1821,146419,1828,152352,10194,843664,293496,293496,1517577,125557,151787,159299,276066,276066,"Scarus zelindae",5,22846,25.91,36.98,NA,NA,NA,NA,NA
