FID,Key,SurveyID,Country,Ecoregion,Realm,SiteCode,Site,SiteLat,SiteLong,SurveyDate,Depth,Phylum,Class,Family,Taxon,Block,Total,Diver,geom
M1_DATA.28103,28103,912344737,Panama,Southwestern Caribbean,Tropical Atlantic,BOCAS13 ,Casa Blanca,9.36,-82.27,2015-04-08T00:00:00,8,Chordata,Actinopterygii,Chaetodontidae,Chaetodon capistratus,1,2,RSS,POINT (-82.27 9.36)
M1_DATA.28105,28105,912344737,Panama,Southwestern Caribbean,Tropical Atlantic,BOCAS13 ,Casa Blanca,9.36,-82.27,2015-04-08T00:00:00,8,Chordata,Actinopterygii,Labridae,Halichoeres bivittatus,2,14,RSS,POINT (-82.27 9.36)
M1_DATA.28112,28112,912344757,Panama,Southwestern Caribbean,Tropical Atlantic,BOCAS13 ,Casa Blanca,9.36,-82.27,2015-04-08T00:00:00,10,Chordata,Actinopterygii,Chaetodontidae,Chaetodon ocellatus,2,2,AA,POINT (-82.27 9.36)
M1_DATA.28114,28114,912344757,Panama,Southwestern Caribbean,Tropical Atlantic,BOCAS13 ,Casa Blanca,9.36,-82.27,2015-04-08T00:00:00,10,Chordata,Actinopterygii,Haemulidae,Haemulon plumierii,2,1,AA,POINT (-82.27 9.36)
M1_DATA.28119,28119,912344757,Panama,Southwestern Caribbean,Tropical Atlantic,BOCAS13 ,Casa Blanca,9.36,-82.27,2015-04-08T00:00:00,10,Chordata,Actinopterygii,Scaridae,Scarus iseri,1,32,AA,POINT (-82.27 9.36)
M1_DATA.28121,28121,912344757,Panama,Southwestern Caribbean,Tropical Atlantic,BOCAS13 ,Casa Blanca,9.36,-82.27,2015-04-08T00:00:00,10,Chordata,Actinopterygii,Pomacentridae,Stegastes partitus,2,5,AA,POINT (-82.27 9.36)
M1_DATA.28203,28203,912354157,Panama,Southwestern Caribbean,Tropical Atlantic,BOCAS14,Solarte,9.34,-82.23,2018-12-13T00:00:00,7,Chordata,Actinopterygii,Scaridae,Scarus iseri,2,74,LH,POINT (-82.23 9.34)
M1_DATA.28205,28205,912344727,Panama,Southwestern Caribbean,Tropical Atlantic,BOCAS2,Almirante,9.29,-82.34,2015-04-03T00:00:00,8,Chordata,Actinopterygii,Serranidae,Serranus tigrinus,1,1,GJE,POINT (-82.34 9.29)
M1_DATA.28212,28212,912344727,Panama,Southwestern Caribbean,Tropical Atlantic,BOCAS2,Almirante,9.29,-82.34,2015-04-03T00:00:00,8,Chordata,Actinopterygii,Serranidae,Serranus tortugarum,2,12,RSS,POINT (-82.34 9.29)
M1_DATA.28214,28214,912344728,Panama,Southwestern Caribbean,Tropical Atlantic,BOCAS2,Almirante,9.29,-82.34,2015-04-03T00:00:00,3.5,Chordata,Actinopterygii,Chaetodontidae,Chaetodon capistratus,2,1,GJE,POINT (-82.34 9.29)
M1_DATA.28221,28221,912344738,Panama,Southwestern Caribbean,Tropical Atlantic,BOCAS2,Almirante,9.29,-82.34,2015-04-03T00:00:00,3,Chordata,Actinopterygii,Carangidae,Caranx ruber,1,1,RSS,POINT (-82.34 9.29)
M1_DATA.28223,28223,912344738,Panama,Southwestern Caribbean,Tropical Atlantic,BOCAS2,Almirante,9.29,-82.34,2015-04-03T00:00:00,3,Chordata,Actinopterygii,Gobiidae,Coryphopterus eidolon,1,3,RSS,POINT (-82.34 9.29)
M1_DATA.28273,28273,912344738,Panama,Southwestern Caribbean,Tropical Atlantic,BOCAS2,Almirante,9.29,-82.34,2015-04-03T00:00:00,3,Chordata,Actinopterygii,Blenniidae,Parablennius marmoreus,1,1,RSS,POINT (-82.34 9.29)
M1_DATA.28278,28278,912354148,Panama,Southwestern Caribbean,Tropical Atlantic,BOCAS2,Almirante,9.29,-82.34,2016-01-27T00:00:00,2.5,Chordata,Actinopterygii,Haemulidae,Haemulon plumierii,2,4,RWH,POINT (-82.34 9.29)
M1_DATA.28280,28280,912354148,Panama,Southwestern Caribbean,Tropical Atlantic,BOCAS2,Almirante,9.29,-82.34,2016-01-27T00:00:00,2.5,Chordata,Actinopterygii,Scaridae,Scarus iseri,2,54,RWH,POINT (-82.34 9.29)
M1_DATA.28287,28287,912354151,Panama,Southwestern Caribbean,Tropical Atlantic,BOCAS2,Almirante,9.29,-82.34,2017-06-19T00:00:00,3,Chordata,Actinopterygii,Gobiidae,Elacatinus illecebrosus,2,6,WW,POINT (-82.34 9.29)
M1_DATA.28289,28289,912354151,Panama,Southwestern Caribbean,Tropical Atlantic,BOCAS2,Almirante,9.29,-82.34,2017-06-19T00:00:00,3,Chordata,Actinopterygii,Scaridae,Scarus iseri,2,52,WW,POINT (-82.34 9.29)
M1_DATA.28296,28296,912344747,Panama,Southwestern Caribbean,Tropical Atlantic,BOCAS3,Pastores SE,9.24,-82.33,2015-04-04T00:00:00,3,Chordata,Actinopterygii,Labridae,Halichoeres bivittatus,2,104,SJ,POINT (-82.33 9.24)
M1_DATA.28298,28298,912344747,Panama,Southwestern Caribbean,Tropical Atlantic,BOCAS3,Pastores SE,9.24,-82.33,2015-04-04T00:00:00,3,Chordata,Actinopterygii,Serranidae,Serranus tigrinus,2,4,SJ,POINT (-82.33 9.24)
M1_DATA.28353,28353,912344739,Panama,Southwestern Caribbean,Tropical Atlantic,BOCAS4 ,Pastores,9.24,-82.34,2015-04-04T00:00:00,5,Chordata,Actinopterygii,Serranidae,Hypoplectrus nigricans,2,3,RSS,POINT (-82.34 9.24)
M1_DATA.28355,28355,912344739,Panama,Southwestern Caribbean,Tropical Atlantic,BOCAS4 ,Pastores,9.24,-82.34,2015-04-04T00:00:00,5,Chordata,Actinopterygii,Scaridae,Scarus iseri,1,33,RSS,POINT (-82.34 9.24)
