FID,Key,SurveyID,Country,Ecoregion,Realm,SiteCode,Site,SiteLat,SiteLong,SurveyDate,Depth,Phylum,Class,Family,Taxon,Block,Total,Diver,geom
M1_DATA.10729,10729,912341863,Argentina,North Patagonian Gulfs,Temperate South America,ARG1,San Roman,-42.26,-64.23,2012-04-10T00:00:00,9.5,Chordata,Actinopterygii,Cheilodactylidae,Nemadactylus bergi,2,1,AI,POINT (-64.23 -42.26)
M1_DATA.10730,10730,912341864,Argentina,North Patagonian Gulfs,Temperate South America,ARG1,San Roman,-42.26,-64.23,2012-04-10T00:00:00,10,Chordata,Actinopterygii,Serranidae,Acanthistius patachonicus,2,90,GJE,POINT (-64.23 -42.26)
M1_DATA.10731,10731,912341864,Argentina,North Patagonian Gulfs,Temperate South America,ARG1,San Roman,-42.26,-64.23,2012-04-10T00:00:00,10,Chordata,Actinopterygii,Pinguipedidae,Pinguipes brasilianus,1,13,GJE,POINT (-64.23 -42.26)
M1_DATA.10732,10732,912341864,Argentina,North Patagonian Gulfs,Temperate South America,ARG1,San Roman,-42.26,-64.23,2012-04-10T00:00:00,10,Chordata,Actinopterygii,Sebastidae,Sebastes oculatus,2,29,GJE,POINT (-64.23 -42.26)
M1_DATA.10733,10733,912341864,Argentina,North Patagonian Gulfs,Temperate South America,ARG1,San Roman,-42.26,-64.23,2012-04-10T00:00:00,10,Chordata,Actinopterygii,Serranidae,Serranus auriga,2,1,GJE,POINT (-64.23 -42.26)
M1_DATA.10783,10783,912341865,Argentina,North Patagonian Gulfs,Temperate South America,ARG10,Los Bollones,-42.93,-64.5,2012-04-15T00:00:00,10,Chordata,Actinopterygii,Sebastidae,Sebastes oculatus,2,13,GJE,POINT (-64.5 -42.93)
M1_DATA.10784,10784,912341866,Argentina,North Patagonian Gulfs,Temperate South America,ARG11,Punta la Islita,-41.96,-65.06,2012-04-17T00:00:00,14,Chordata,Actinopterygii,Serranidae,Acanthistius patachonicus,2,23,GJE,POINT (-65.06 -41.96)
M1_DATA.10785,10785,912341866,Argentina,North Patagonian Gulfs,Temperate South America,ARG11,Punta la Islita,-41.96,-65.06,2012-04-17T00:00:00,14,Chordata,Actinopterygii,Sparidae,Diplodus argenteus,2,341,GJE,POINT (-65.06 -41.96)
M1_DATA.10786,10786,912341866,Argentina,North Patagonian Gulfs,Temperate South America,ARG11,Punta la Islita,-41.96,-65.06,2012-04-17T00:00:00,14,Chordata,Actinopterygii,Mullidae,Mullus argentinae,2,20,GJE,POINT (-65.06 -41.96)
M1_DATA.10787,10787,912341867,Argentina,North Patagonian Gulfs,Temperate South America,ARG12,La Islita,-41.95,-65.06,2012-04-17T00:00:00,4,Chordata,Actinopterygii,Sparidae,Diplodus argenteus,2,104,AI,POINT (-65.06 -41.95)
